cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT4_sc003,"[2, 0, 0, 0]",466.431177,0.3217724824547087,[0.01272884 0.02478197 0.03620056 0.04702576],[157   0   0   0],5.0081787670820486e-17
BTT4_sc004,"[11, 0, 0, 0]",1312.845449,0.2849772260066911,[0.01032938 0.02022832 0.02972004 0.03882777],[1065    0    0    0],1.0896350060555352e-14
BTT4_sc017,"[2, 0, 0, 0]",776.227122,0.301755793501404,[0.00952282 0.01862009 0.02731577 0.03563379],[210   0   0   0],0.0
BTT4_sc018,"[10, 1, 0, 0]",674.246508,0.3268827857270468,[0.01254971 0.02441593 0.03563896 0.0462591 ],[320 286   0   0],2.220446049250313e-15
BTT4_sc028,"[4, 2, 0, 0]",764.165871,0.3208435128070152,[0.02209476 0.04238033 0.06100873 0.078132  ],[ 0 39 74  0],0.24707460671047446
BTT4_sc029,"[5, 0, 3, 1]",701.301985,0.3380609580683205,[0.02978193 0.05649415 0.08045018 0.10196353],[113   0   0  38],2.7142358971533573
BTT4_sc031,"[9, 0, 0, 0]",629.727009,0.3408709555561412,[0.01176729 0.02289738 0.03342927 0.04340193],[765   0   0   0],1.7763568394002505e-15
BTT4_sc035,"[3, 0, 0, 0]",573.219192,0.27679729637468425,[0.005187   0.01022157 0.01510876 0.01985363],[578   0   0   0],0.0
BTT4_sc047,"[2, 0, 0, 0]",522.55371,0.3561290189866908,[0.01002347 0.01953324 0.02856131 0.03713969],[200   0   0   0],1.246782304804141e-15
BTT4_sc102,"[10, 5, 0, 0]",920.68263,0.41605295998543174,[0.01875165 0.03616468 0.05234158 0.06738486],[  0   0  27 210],1.1731131824485557
BTT4_sc104,"[18, 4, 0, 0]",1196.314028,0.40175595480042275,[0.03665031 0.06944097 0.09876772 0.12502629],[107 261   0   0],1.0395861869767154e-14
BTT4_sc108,"[4, 1, 0, 0]",710.973543,0.3352189375416759,[0.00964932 0.01882425 0.02755145 0.03585763],[  0  56 145   0],0.07385860887720479
BTT4_sc125,"[7, 1, 0, 0]",1094.583593,0.3973706950870434,[0.02505629 0.04784276 0.06857119 0.08745335],[111 109   0   0],3.4416913763379853e-15
BTT4_sc126,"[8, 1, 0, 0]",729.600755,0.46624978977785253,[0.01603867 0.0308478  0.04452847 0.05718172],[ 86 247   0   0],4.440892098500626e-16
BTT4_sc128,"[2, 2, 1, 0]",1128.721131,0.3849205019799128,[0.01654329 0.03193374 0.04624825 0.05956373],[ 0  0  0 67],1.1181615526107138
BTT4_sc214,"[14, 2, 0, 0]",798.154255,0.36286585820740874,[0.02480438 0.04768275 0.06878767 0.08827168],[203 230   0   0],1.0395861869767154e-14
BTT4_sc226,"[16, 3, 0, 0]",656.502784,0.432377877728847,[0.04303359 0.0808214  0.11395891 0.14304157],[145 158   0   0],3.9968028886505635e-15
BTT4_sc301,"[7, 2, 0, 0]",652.644939,0.30342362391963784,[0.0235208  0.04527763 0.06539905 0.0840136 ],[  0 193   4   0],0.01301831044519621
BTT4_sc302,"[12, 3, 0, 0]",822.388071,0.2932661564454137,[0.02510979 0.048226   0.06949863 0.08907766],[101 259   0   0],3.580361673049448e-15
BTT4_sc303,"[9, 1, 0, 0]",678.421802,0.2895372968076207,[0.01929461 0.03729214 0.05407863 0.06974013],[266 131   0   0],5.617333549722722e-15
BTT4_sc305,"[3, 2, 0, 0]",669.461494,0.3047255343700203,[0.01685168 0.03266978 0.04751746 0.06145792],[ 0  0 29 62],0.5287400411129207
BTT4_sc306,"[14, 0, 1, 0]",699.880267,0.31176333932341666,[0.02702962 0.05179792 0.07448425 0.09526797],[502   0   0  10],0.9145747487247957
BTT4_sc308,"[11, 0, 1, 0]",617.79439,0.316951452463637,[0.02511658 0.04818366 0.06935943 0.08880211],[421   0   0  10],0.9271051851809413
BTT4_sc309,"[7, 0, 0, 0]",865.474441,0.22245161753617465,[0.01088791 0.02133201 0.03135115 0.04096417],[643   0   0   0],8.881784197001252e-16
BTT4_sc310,"[8, 3, 0, 0]",613.407214,0.3047840648686762,[0.02584518 0.04960159 0.07142781 0.09148238],[  0 169  38   0],0.14672638382909806
BTT4_sc311,"[1, 1, 0, 0]",677.961697,0.3108961537995321,[0.02160518 0.04161204 0.06013465 0.07728709],[ 0  0  7 21],0.3607806023697672
BTT4_sc312,"[4, 3, 0, 0]",718.20306,0.2811420532338496,[0.01372909 0.02670488 0.03896921 0.05056388],[  0   0   0 145],0.922398335595899
BTT4_sc313,"[11, 4, 1, 0]",749.454851,0.25269584396680767,[0.02283199 0.04408283 0.06385576 0.08225403],[128 171   0  67],3.552713678800501e-15
BTT4_sc314,"[5, 2, 0, 0]",651.829827,0.2563170926611897,[0.02036349 0.03935644 0.05706963 0.07359385],[  0 124  39   0],0.1295943469487381
BTT4_sc315,"[3, 1, 0, 0]",835.66461,0.2650245065258951,[0.01942535 0.03758624 0.05456506 0.07044418],[ 0 85 15  0],0.04173451446699899
BTT4_sc316,"[1, 1, 0, 0]",726.031205,0.22921137134943462,[0.01757153 0.03417341 0.04985728 0.0646748 ],[ 0  0 17 19],0.34773476619373156
BTT4_sc317,"[4, 3, 0, 0]",630.927581,0.3229935658652218,[0.02786979 0.05324219 0.07632978 0.09734515],[ 0  0 95  0],0.5113571084416453
BTT4_sc319,"[4, 1, 0, 0]",716.085519,0.2882966568511793,[0.0103578  0.02005793 0.02914428 0.03766074],[  0 239   7   0],0.00845795482128169
BTT4_sc320,"[7, 1, 1, 0]",654.479041,0.2726374259228297,[0.02526167 0.04848979 0.06984392 0.0894836 ],[224   0   0  36],0.35269420160844156
BTT4_sc321,"[7, 2, 0, 0]",568.388247,0.25789965627449796,[0.02430918 0.04681283 0.06763945 0.08691755],[ 54 164   0   0],2.8435583831733384e-15
BTT4_sc322,"[9, 4, 0, 0]",778.390864,0.289876535925538,[0.02783616 0.05333228 0.07667283 0.09804229],[  0 176  50   0],0.25350306770227743
BTT4_sc323,"[9, 2, 0, 0]",836.001831,0.2742730103879392,[0.02626359 0.0505049  0.07286921 0.09350183],[117 157   0   0],2.220446049250313e-16
BTT4_sc325,"[7, 3, 0, 0]",671.926611,0.27017890051595983,[0.03308414 0.06308763 0.09026589 0.11487434],[ 12 152   0   0],1.3511333754106543e-15
BTT4_sc326,"[6, 1, 0, 0]",712.64173,0.25079056190707855,[0.02136826 0.04130941 0.05991571 0.07727944],[133 100   0   0],1.5543122344752192e-15
BTT4_sc327,"[7, 0, 0, 0]",701.680202,0.2822401055719857,[0.02724119 0.05226606 0.07524413 0.09634492],[257   0   0   0],8.881784197001252e-16
BTT4_sc328,"[7, 0, 1, 0]",840.100805,0.2848633946050831,[0.02265479 0.04362186 0.06302327 0.08098106],[288   0   0  12],0.9131649027880776
BTT4_sc329,"[3, 4, 0, 0]",513.397247,0.28878474156310624,[0.02838197 0.05440358 0.07824931 0.10010365],[ 0  0 72 16],1.5492006306869497
BTT4_sc331,"[4, 1, 0, 0]",910.650718,0.26425871064339795,[0.02313558 0.04461562 0.064556   0.0830726 ],[39 92  0  0],1.9984014443252818e-15
BTT4_sc332,"[11, 1, 1, 0]",676.485492,0.28215291846326873,[0.02349267 0.04526531 0.06543814 0.08413143],[405   0   0  38],0.5284439965597932
BTT4_sc333,"[11, 4, 1, 0]",782.50765,0.29427197601287114,[0.02778882 0.05330355 0.07671678 0.09820108],[110 138   0  57],5.164625771320267e-15
BTT4_sc334,"[11, 3, 0, 0]",746.270329,0.3194454348807911,[0.03184855 0.06069906 0.08681323 0.11045275],[ 77 190   0   0],2.220446049250313e-15
BTT4_sc336,"[11, 3, 1, 0]",744.37963,0.33356145312306057,[0.02821357 0.0539238  0.07734016 0.09867217],[213  52   0  63],7.755684626330685e-15
BTT4_sc337,"[2, 1, 0, 0]",827.452524,0.24279507295740496,[0.01541152 0.03001075 0.04384223 0.05695047],[ 0  0 71  0],0.129570796292729
BTT4_sc338,"[3, 3, 0, 0]",654.158389,0.2748949651457375,[0.01589314 0.03086596 0.04497342 0.05827051],[  0   0   0 106],1.2241698181545548
BTT4_sc339,"[13, 2, 0, 0]",897.23944,0.2565451888674748,[0.01603649 0.03104838 0.04510298 0.0582676 ],[379 287   0   0],7.944109290391274e-15
BTT4_sc340,"[3, 1, 0, 0]",697.898689,0.23218242336926823,[0.01399981 0.02730546 0.03995167 0.05197313],[ 0 86 42  0],0.06642246291614243
BTT4_sc341,"[3, 0, 0, 0]",728.623617,0.17292061486628765,[0.0078969  0.01555052 0.02296906 0.03016074],[380   0   0   0],1.7380168814503318e-15
BTT4_sc342,"[4, 0, 0, 0]",691.969288,0.24667494236566767,[0.01396448 0.0272014  0.03974823 0.05164243],[286   0   0   0],0.0
BTT4_sc343,"[6, 1, 1, 0]",617.380653,0.2799188640973631,[0.01784613 0.03462562 0.05040481 0.06525   ],[226   0   0  55],0.6171809369323114
BTT4_sc344,"[5, 1, 1, 0]",580.606606,0.34505262381123686,[0.02220509 0.04268429 0.06157371 0.07900948],[140   0   0  45],0.6095832558471627
BTT4_sc345,"[9, 1, 0, 0]",1072.10704,0.2651474036679398,[0.01522532 0.02957333 0.04309596 0.05584512],[318 174   0   0],2.1556631856153973e-15
BTT4_sc346,"[7, 1, 0, 0]",725.827023,0.3440204457430427,[0.02511839 0.0480553  0.06899552 0.08812388],[136  95   0   0],9.155133597044475e-16
