cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT4_sc003,"[13, 0, 0]",1154.070647,0.3217724824547087,[0.01291682 0.02492235 0.03612314],[1006    0    0],5.09807778353052e-15
BTT4_sc004,"[2, 0, 0]",420.196293,0.2849772260066911,[0.01492863 0.02876954 0.04165425],[134   0   0],0.0
BTT4_sc017,"[8, 0, 0]",862.853695,0.301755793501404,[0.00850232 0.01656167 0.02421521],[941   0   0],0.0
BTT4_sc018,"[9, 0, 0]",866.914802,0.3268827857270468,[0.01264939 0.02442011 0.03540342],[711   0   0],1.066733911027413e-15
BTT4_sc028,"[18, 5, 0]",841.829517,0.3208435128070152,[0.02349388 0.0444731  0.06333062],[260 380   0],1.3170628000029836e-14
BTT4_sc029,"[15, 5, 1]",935.868417,0.3380609580683205,[0.03036651 0.0566741  0.07967805],[216 153  72],1.040534282191528e-14
BTT4_sc031,"[5, 1, 0]",627.344934,0.3408709555561412,[0.01207514 0.02330742 0.03379362],[ 26 244   0],8.881784197001252e-16
BTT4_sc035,"[3, 0, 0]",883.774148,0.27679729637468425,[0.00504971 0.00990711 0.01458529],[594   0   0],0.0
BTT4_sc047,"[8, 0, 0]",1102.893733,0.3561290189866908,[0.0109394  0.0211048  0.03058415],[731   0   0],4.2273587427504806e-16
BTT4_sc102,"[11, 2, 1]",681.193662,0.41605295998543174,[0.02455169 0.04639918 0.06598941],[252   0 114],0.450252975807061
BTT4_sc104,"[21, 0, 0]",590.387506,0.40175595480042275,[0.03996995 0.07436601 0.10424416],[525   0   0],2.126492296824486e-15
BTT4_sc108,"[6, 0, 0]",966.274839,0.3352189375416759,[0.00972668 0.0188464  0.02742046],[617   0   0],1.7090867479339403e-15
BTT4_sc125,"[16, 2, 0]",568.14282,0.3973706950870434,[0.02766331 0.05194744 0.07344957],[375 147   0],2.6645352591003757e-15
BTT4_sc126,"[11, 1, 0]",943.073113,0.46624978977785253,[0.02033953 0.03822217 0.05410605],[357 124   0],9.086813006558744e-15
BTT4_sc128,"[9, 2, 1]",641.902825,0.3849205019799128,[0.0190455  0.03622478 0.05180423],[221   0 143],0.5005482665159527
BTT4_sc214,"[4, 2, 1]",534.9934,0.36286585820740874,[0.02471172 0.0466719  0.06634753],[  0   0 103],0.26052152932166833
BTT4_sc226,"[32, 12, 1]",873.267119,0.432377877728847,[0.04438417 0.08203865 0.11429035],[138 370  75],3.307272212708699e-14
BTT4_sc301,"[18, 3, 1]",877.91927,0.30342362391963784,[0.02474376 0.04713143 0.06746831],[525   0 133],0.03956497401730645
BTT4_sc302,"[15, 1, 0]",747.729742,0.2932661564454137,[0.02643327 0.05023213 0.07174019],[481  65   0],2.220446049250313e-15
BTT4_sc303,"[12, 1, 1]",906.657977,0.2895372968076207,[0.01961604 0.03759157 0.05411885],[500   0  69],0.6778836049300108
BTT4_sc305,"[12, 0, 0]",954.764193,0.3047255343700203,[0.01801762 0.0345133  0.04967145],[666   0   0],3.986201551627443e-15
BTT4_sc306,"[15, 3, 0]",917.49532,0.31176333932341666,[0.0284828  0.0539185  0.07674216],[288 182   0],1.1363565772283042e-14
BTT4_sc308,"[20, 2, 0]",901.082128,0.316951452463637,[0.02639269 0.0500048  0.0712299 ],[577 135   0],8.603384016219716e-15
BTT4_sc309,"[6, 1, 0]",746.204701,0.22245161753617465,[0.01189464 0.02313696 0.03377956],[215 192   0],1.3322676295501878e-15
BTT4_sc310,"[16, 1, 0]",761.293573,0.3047840648686762,[0.02758579 0.05228876 0.07451173],[498  62   0],3.8778423131653425e-15
BTT4_sc311,"[16, 1, 0]",935.435736,0.3108961537995321,[0.02362264 0.04494573 0.06427528],[567  80   0],8.188600426433445e-15
BTT4_sc312,"[15, 2, 0]",769.276571,0.2811420532338496,[0.01426712 0.02752515 0.03988057],[566 324   0],2.857008784255731e-14
BTT4_sc313,"[29, 3, 0]",856.574565,0.25269584396680767,[0.02414547 0.04617491 0.06633118],[933 205   0],1.2094873208479e-14
BTT4_sc314,"[16, 3, 0]",908.589978,0.2563170926611897,[0.02091182 0.04008167 0.05770257],[423 253   0],1.733300189718459e-14
BTT4_sc315,"[15, 5, 1]",860.234305,0.2650245065258951,[0.02125007 0.04068569 0.05852087],[245 181 144],5.687116766346677e-15
BTT4_sc316,"[14, 1, 0]",787.799045,0.22921137134943462,[0.01851026 0.035647   0.0515496 ],[629  94   0],4.440892098500626e-15
BTT4_sc317,"[27, 4, 0]",973.551976,0.3229935658652218,[0.02973045 0.05611183 0.07963902],[609 230   0],9.175560390969252e-15
BTT4_sc319,"[3, 0, 0]",868.36487,0.2882966568511793,[0.00922916 0.01773293 0.02559834],[325   0   0],6.31256575226482e-16
BTT4_sc320,"[13, 3, 0]",833.466492,0.2726374259228297,[0.02196575 0.04198023 0.06028264],[265 243   0],4.675049387101657e-15
BTT4_sc321,"[20, 5, 0]",921.819267,0.25789965627449796,[0.02624306 0.05000386 0.07159164],[384 298   0],7.485270434936696e-15
BTT4_sc322,"[19, 2, 0]",797.026159,0.289876535925538,[0.02889969 0.05471313 0.07787492],[519 110   0],4.747948374493107e-15
BTT4_sc323,"[23, 2, 1]",798.936633,0.2742730103879392,[0.02766906 0.05260833 0.07516794],[729   0  76],0.22010146060917102
BTT4_sc325,"[17, 4, 1]",790.962373,0.27017890051595983,[0.03269012 0.06158384 0.08724813],[355  88  57],7.913795568724395e-15
BTT4_sc326,"[15, 1, 0]",821.380034,0.25079056190707855,[0.02192012 0.04201912 0.06049815],[579  79   0],3.774758283725532e-15
BTT4_sc327,"[25, 4, 0]",844.226832,0.2822401055719857,[0.02903397 0.05507381 0.07851609],[582 220   0],1.5409264324781302e-14
BTT4_sc328,"[20, 1, 1]",743.671114,0.2848633946050831,[0.02486144 0.04732734 0.06769678],[735   0  49],0.627551118661566
BTT4_sc329,"[25, 6, 1]",891.198997,0.28878474156310624,[0.02946741 0.05579866 0.07942946],[496 188  86],6.377745716588144e-15
BTT4_sc331,"[14, 4, 0]",794.163802,0.26425871064339795,[0.02306588 0.04410756 0.06336397],[205 301   0],2.5121479338940403e-15
BTT4_sc332,"[17, 3, 0]",834.77914,0.28215291846326873,[0.02407215 0.04595961 0.06593014],[400 226   0],3.552713678800501e-15
BTT4_sc333,"[17, 3, 2]",774.599661,0.29427197601287114,[0.02887193 0.05476537 0.07807818],[429   0 116],0.8717897428516685
BTT4_sc334,"[22, 2, 0]",816.869734,0.3194454348807911,[0.03326675 0.06255006 0.08845285],[542  95   0],9.934759706902301e-15
BTT4_sc336,"[21, 2, 0]",856.829961,0.33356145312306057,[0.03116689 0.05864868 0.08302099],[534 109   0],8.08669142092892e-15
BTT4_sc337,"[13, 4, 0]",698.308292,0.24279507295740496,[0.01589296 0.03073513 0.04462642],[ 52 526   0],2.7360550153458265e-14
BTT4_sc338,"[16, 3, 0]",921.707141,0.2748949651457375,[0.01669656 0.03212511 0.04642463],[413 377   0],1.7763568394002505e-15
BTT4_sc339,"[6, 1, 0]",595.198568,0.2565451888674748,[0.01778084 0.03402241 0.04891805],[211  96   0],2.4318720841649594e-15
BTT4_sc340,"[15, 0, 0]",842.094713,0.23218242336926823,[0.01473312 0.02853452 0.04148717],[1018    0    0],4.642181203773867e-15
BTT4_sc341,"[8, 1, 0]",698.948916,0.17292061486628765,[0.00783801 0.01537252 0.0226212 ],[537 312   0],2.3914935841127266e-15
BTT4_sc342,"[12, 2, 0]",904.43006,0.24667494236566767,[0.01440534 0.02783653 0.04038702],[414 289   0],3.310240754816478e-14
BTT4_sc343,"[15, 3, 0]",964.274392,0.2799188640973631,[0.01837316 0.03533699 0.05104348],[313 346   0],3.1644019388191996e-14
BTT4_sc344,"[18, 3, 0]",1015.400286,0.34505262381123686,[0.02307505 0.04378634 0.0624636 ],[408 265   0],3.090292045216579e-14
BTT4_sc345,"[5, 0, 0]",669.884652,0.2651474036679398,[0.01715096 0.03294706 0.04754627],[292   0   0],8.881784197001252e-16
BTT4_sc346,"[13, 3, 0]",1263.088023,0.3440204457430427,[0.0293269  0.05511908 0.07796188],[214 176   0],6.466036496704424e-15
