MutationType,Signature 1,Signature 2,Signature 3,Signature 4
1:Del:C:0,0.022046619965813,0.031525872187403166,0.02037348046801228,0.11554549330797159
1:Del:C:1,0.005869445976641894,0.028735215682646482,0.026421686923900706,0.033473271147964126
1:Del:C:2,0.003935831633909855,0.012449240889234579,0.024640824100008507,0.010394867115831844
1:Del:C:3,0.0020494561472830216,0.0031592049784379115,0.0043260163279498515,0.01896123645596281
1:Del:C:4,0.002912242055738602,0.005077176176745551,0.006913479961045771,0.001143316675809809
1:Del:C:5,1.1920906013990287e-07,0.001486931880079648,0.008409641285955557,0.0025549498071026104
1:Del:T:0,0.0076666951686817,0.018467591629542455,0.05597227332332775,0.029433821358903135
1:Del:T:1,0.007852829119951665,0.002412414313488052,0.029192436944538453,0.03885181120100209
1:Del:T:2,0.00024048700978152423,0.017192284398761144,0.033568000841820024,0.023610582199618788
1:Del:T:3,0.008042468260682993,0.02668027777072889,0.01781715057668144,0.01877995339750992
1:Del:T:4,0.017740830645385047,0.01870509397350583,0.011723761073703208,0.023113018510528934
1:Del:T:5,0.011026235776281763,0.00125852326499049,0.006990189057349346,0.07309948938102742
1:Ins:C:0,0.0001442393062191971,0.007720348696079071,0.04386864830967873,0.03656266643577567
1:Ins:C:1,0.002252118148309141,0.005600687348940209,0.012633686082827743,0.013381257356052422
1:Ins:C:2,0.004043818345937509,0.0009925286359506477,0.0017849616041497925,0.021471866958499983
1:Ins:C:3,0.0010570982398025635,0.001987059528133596,0.00293268474094055,0.017705700516138324
1:Ins:C:4,0.0005994900988840208,0.00010887489075976845,0.0014397613176404212,0.003699033616368463
1:Ins:C:5,0.0008830407524908423,1.192090328289889e-07,0.002906653564426741,0.014745527644166362
1:Ins:T:0,0.010409828789414006,0.006113300946001719,0.1094158841891779,0.06084504750622248
1:Ins:T:1,0.008132536048780682,0.001321286379752359,0.047220417369088434,0.04366227305873214
1:Ins:T:2,0.024317139007742367,0.002592624732561601,0.008447491904052033,0.007583011879470478
1:Ins:T:3,0.004588246488123152,0.005582135235578557,0.02909770013187257,0.014112051364118616
1:Ins:T:4,1.1959841908760742e-05,0.001874106564337403,0.009460198331889694,0.004713423695341041
1:Ins:T:5,0.0008120634741620796,1.192090328289889e-07,0.02391149903658782,0.09668672778720037
2:Del:R:0,0.10158063404063981,0.0007832573462703844,1.1920908232280443e-07,0.03298671641424679
2:Del:R:1,0.2020874267781215,1.192090328289889e-07,1.1920908232280443e-07,1.1920907646716262e-07
2:Del:R:2,0.06361167833227029,9.421548410576747e-05,1.1920908232280443e-07,0.0029151111079308307
2:Del:R:3,0.008664000675388236,0.0004662554104300128,0.0004713005131865421,0.00025327198294204
2:Del:R:4,0.005836056522754881,1.192090328289889e-07,0.00036688153128050494,0.00020713597492989232
2:Del:R:5,0.0085519604100589,0.0007790248352444835,0.025752572528805612,0.014401012252121138
3:Del:R:0,0.001443033549990356,0.005082877744888159,0.010765457082377881,0.021688011829176228
3:Del:R:1,0.0375377448394439,0.00010829629392924595,0.014079785500943732,0.03658282552415877
3:Del:R:2,0.005983183831927604,8.482519257294633e-05,0.00033454663067372117,0.0017945720220531136
