Dataset,SBS1_Late,SBS3_Late,SBS1_Early,SBS3_Early
SCANB,13.606529283014726,190.44042748758935,5.912985851070788,100.0127251572913
SCANB,74.47044981819988,1083.947038803324,7.924189943754333,30.064983679919926
SCANB,2.8051140406987134,61.79222665265533,1.3941532033622546,9.603645277178337
SCANB,58.370653932950916,754.0312392600817,10.287719761387908,134.06634702321438
SCANB,41.665653175390865,536.2415704412293,17.706695561785196,162.7119903052891
SCANB,47.616052959900166,1521.0497618396241,59.090398969880646,933.2405229964618
SCANB,29.9062180981372,542.3274123689793,107.83660096266577,1108.7376513608747
SCANB,50.6399613492476,989.7584672555804,189.21091536059743,1222.7983791369013
SCANB,33.87962814795714,731.912899074819,76.84875690097206,971.6641750146057
SCANB,48.10061072611835,1277.3162907858891,40.75833080945364,160.16031569539282
SCANB,96.4456299146457,1550.264423784552,48.16061700381772,542.7861500495518
SCANB,32.24777346803235,649.0452740572131,94.32123163665517,1013.9017512294831
SCANB,11.211050580239775,255.71329128449332,16.059448057282705,164.7432646168093
SCANB,60.72479659115365,1638.2490420896802,72.68117150163577,574.4407843392062
SCANB,28.12687982971068,290.46510918192547,144.48049390540857,864.6626103894376
SCANB,8.233146314675754,311.71201360023633,84.19154776562355,1329.6041261858977
SCANB,45.84215244677743,1098.999773277072,33.951679969808374,422.3762993681056
SCANB,88.95184596887911,603.7738861233927,43.208968887230796,70.09895118686227
SCANB,52.439802416043506,571.5103231425695,132.43830611808374,620.7040025116225
SCANB,43.93255340399982,684.234963630287,76.33585537812833,577.4239796658412
SCANB,0.8658188629816835,76.40132611918173,11.758767994260145,241.2462433811709
SCANB,9.707524376736046,271.8252599017402,13.172355786592208,199.95160079315443
SCANB,20.45402886418065,691.5020461476968,50.60564516246634,663.1927930142317
SCANB,31.66166168540434,1022.9243332148603,31.145681031406465,292.1515971434349
SCANB,26.233614948756898,494.4139524056209,96.79714986358383,1086.2678330400286
SCANB,50.78299491090835,517.3363228884236,62.81428605684684,294.36513973536483
SCANB,14.781093088996734,554.1570368825509,13.21612852078103,44.021960618840936
SCANB,52.30841175905776,1614.5117647229054,45.577121801243436,494.7763204893702
SCANB,12.77358809933716,137.174078914185,84.63549326785372,692.556410166346
SCANB,56.9748108331885,1452.478888663172,103.26065040428367,1360.9785250984526
SCANB,63.68405418185546,992.8804558421011,143.5858597608448,1213.4431257370074
SCANB,30.816072855139993,470.63850164095993,106.79651494542394,707.4549567722893
SCANB,29.57627454697896,365.1986683228853,80.67407457227046,482.1969695709762
SCANB,52.685218120784725,681.8628919979732,11.04506096661453,161.98663623233656
SCANB,31.142355836352237,275.40963296215534,92.80961792596025,547.629711246463
SCANB,32.95768653730077,639.4902502248342,55.61392169771664,823.3049631362196
SCANB,61.93190266722176,1224.3316911152997,70.57459456621726,719.3396775887511
SCANB,13.191730811162605,182.36412542721365,56.95090814995243,331.7793765204225
SCANB,19.519674979571995,402.63758552094754,89.59146415844154,859.4534441951869
SCANB,43.05314483585554,610.2709927322312,161.50733650971802,965.0376742396157
SCANB,10.204165779560423,344.24560966568055,64.36617467482695,597.0586800328313
SCANB,38.79933576981075,1148.1232391823826,37.35714414523883,425.47641917171455
SCANB,32.861420226909516,430.4971008899025,115.8123027637532,1042.8244064830117
SCANB,12.316291479822983,382.91809176019115,90.03031670914882,1331.9126214044734
SCANB,34.41993485742563,652.8395286365145,51.93585996592116,409.05339549370615
SCANB,50.73923696412248,731.9810969891496,24.835141656155525,213.8102377401451
SCANB,53.53908085547491,819.9498295635331,39.60358118066909,225.13109435076314
SCANB,29.083466098776974,64.22820899103164,111.81244391374412,96.98355520892923
SCANB,37.44293305186978,193.94879449113432,41.28613085755143,105.1823054235083
PCAWG,71.89348416879848,995.8240150891314,74.3330131731048,781.3131428062126
PCAWG,13.383843162676005,95.23242310284556,83.80383160853748,62.9491626074922
PCAWG,45.328207957630056,1084.1291242135023,55.73312199064567,206.4040686299943
PCAWG,82.93223543737241,1197.7277673554077,149.82219893068435,1641.9607646182085
PCAWG,36.46342168014951,711.8294828891751,69.85785188926997,1097.2229195105465
PCAWG,70.61323534993228,995.9073298604643,9.763962412001074,36.95936740052925
PCAWG,67.81362292958592,529.3096859898768,82.58268944725368,250.06802284428397
PCAWG,114.9016238956537,1076.4114658364006,130.4086136736599,957.7610959636236
PCAWG,40.213746552028034,565.3770547385254,19.337808524309445,86.40726414843299
PCAWG,34.2433040646482,1090.2181112338312,96.12432059319204,1495.1195001867989
PCAWG,51.321826022760675,905.1085969331916,83.89850551469087,673.0605298165048
PCAWG,52.08520678165894,703.5244471216353,56.79565231347519,517.2329418502449
PCAWG,49.11361927280634,930.4399951102741,9.912348758819643,118.69797658862446
PCAWG,34.59317837984168,394.95581997579313,111.32411333875517,980.7210949156158
PCAWG,43.82242466655726,834.4115384435163,80.38627266636377,1306.4857758539242
PCAWG,23.940159462989712,537.8946319590086,59.638388301409805,699.8063299431257
PCAWG,102.41111512844134,145.91186320473327,30.420302266419082,24.468907486275846
PCAWG,33.76326546139887,901.1730971551024,96.52690791392925,1493.6800033760574
PCAWG,20.40775251443594,328.9832991106931,176.38647062474627,1521.4530593811442
PCAWG,52.38789950483638,1149.8817099854652,74.04201074477395,496.90884040532626
PCAWG,96.81785228448952,1415.5321986388408,28.746687984153688,87.57454850408725
PCAWG,42.661710688929844,909.4044932770574,134.14882469050372,1802.5472367717693
PCAWG,22.405232760828593,565.9276274417767,45.6911980267864,209.0165834987818
PCAWG,92.71209598887344,1041.8838838971442,171.08167455375218,1421.0268273400766
PCAWG,57.528647587633756,866.3969393475159,124.47556510974775,944.4611316193366
PCAWG,13.669580551748597,472.61565860775613,85.1297860339011,1025.124530530564
PCAWG,21.353112323656493,553.1453401207036,82.33469873349122,719.5033858227782
PCAWG,36.37591863296842,1425.2059293120155,80.11231819451955,926.190764225153
PCAWG,42.48007246157158,1757.8717417253115,115.5794270162981,1835.7712168792584
PCAWG,40.6165707698895,74.60073530233751,102.30558429475644,168.87470648228125
PCAWG,38.944119612766315,592.571189288984,133.81932202404644,677.8770534372367
