ID,Dataset,SBS1,SBS1_err,SBS3,SBS3_err
PD31044a,SCANB,0.6544244219888499,0.1056848582811313,0.6321591725902314,0.14150444367174084
PD31051a,SCANB,0.8825563112710494,0.023713181062183106,0.9453799425290736,0.018651594005726628
PD31056a,SCANB,0.6949548593070722,0.25882560102019336,0.8156445034680749,0.07391542905455777
PD31059a,SCANB,0.8287014136847694,0.024675150740864224,0.817946068192286,0.02077416096095537
PD31068a,SCANB,0.7045234444978813,0.025062013879928898,0.7464590821117714,0.03720340802300361
PD31074a,SCANB,0.4378247898458196,0.04134785663848063,0.601564506944937,0.01950972625217346
PD31092a,SCANB,0.21574798807110848,0.027229184362871046,0.32014332571653986,0.03614283594281486
PD31097a,SCANB,0.20702764626626843,0.015508192311027054,0.41808641552894177,0.030370376827761267
PD31099a,SCANB,0.2994522694558624,0.03344353004403316,0.41809341434359715,0.03353164237420723
PD31107a,SCANB,0.5404433654482952,0.03945550008543782,0.8544639703240825,0.029006509867174943
PD31127a,SCANB,0.6461165646663455,0.02296411441764932,0.7173730796059006,0.03426118476955302
PD31128a,SCANB,0.2500059820943969,0.024359963013552876,0.3778424340563886,0.02694001315715389
PD31129a,SCANB,0.4239724765151177,0.06761451083074772,0.579991970390556,0.052761059104425724
PD31145a,SCANB,0.44284452286279435,0.03323459845158882,0.7174878400314254,0.0297672822148236
PD31147a,SCANB,0.16121497111237756,0.018262474148605323,0.24525805555681968,0.04129337228984348
PD31155a,SCANB,0.08837433792239405,0.03962985632241206,0.18536685463914634,0.027619957450320313
PD31158a,SCANB,0.5648555487730551,0.03320223690773485,0.6999635247070165,0.030257823635969485
PD31159a,SCANB,0.6638768455492462,0.015699572194643942,0.8664915253668647,0.033717178864735575
PD31167a,SCANB,0.2784871922811761,0.01940584523416071,0.45907880799372924,0.03801663199463744
PD31169a,SCANB,0.3577871055030023,0.026649419165193443,0.5219240129896839,0.04754599666472905
PD31171a,SCANB,0.06267103548653484,0.06822223850640997,0.2349584033168209,0.11275729167772137
PD31178a,SCANB,0.41062060510790954,0.20196782398419696,0.561706563108187,0.0941601904354761
PD35926a,SCANB,0.28946892761353815,0.040827893296415355,0.49237879381424005,0.03757672754952356
PD35929a,SCANB,0.49719707904722843,0.05171846815854477,0.7470658720660371,0.03798406859811731
PD35930a,SCANB,0.21280453911516037,0.030826040181501282,0.3035431770703308,0.03273022089612115
PD35933a,SCANB,0.42437927859169405,0.038419309502861515,0.574477130694304,0.08703655576924331
PD35935a,SCANB,0.5164042626494331,0.21342275546312578,0.888533053015993,0.029143393770502946
PD35939a,SCANB,0.5282804716179305,0.03371039408975907,0.7374817576445781,0.027844200432866686
PD35941a,SCANB,0.12880889467814088,0.017617039500797,0.16167757415057868,0.03035856201412715
PD35953a,SCANB,0.345113737200986,0.020509458114395085,0.4797333124152782,0.02765720173029893
PD35955a,SCANB,0.3023467488085054,0.021498210878574415,0.43460398927769184,0.03622355499422052
PD35957a,SCANB,0.22185453890055995,0.03621170722418413,0.39006988102760887,0.05503098146671709
PD35958a,SCANB,0.2614197267836122,0.02989149603112005,0.40606103774673236,0.0562341567051412
PD35962a,SCANB,0.8071402995930511,0.028137542776268534,0.7841809073678468,0.024730587237767727
PD35979a,SCANB,0.24829661419243218,0.022154977779784323,0.3194974431969225,0.05367181608669423
PD35985a,SCANB,0.36721329993229745,0.03313135354996995,0.42123880715661915,0.03431070590533442
PD35987a,SCANB,0.4571953307760943,0.03225455535016754,0.6097478872632378,0.03620652257786423
PD35990a,SCANB,0.1840131395241137,0.06105132299368872,0.341130555739903,0.07631141583019597
PD35992a,SCANB,0.1789906975779731,0.019147687285736008,0.30579653655276334,0.027367294064466134
PD36000a,SCANB,0.20955789685392043,0.024754435327039262,0.37600177744331525,0.045946642117384986
PD36006a,SCANB,0.13494578902744006,0.03753970042614127,0.35422115162139134,0.041288728543117166
PD36013a,SCANB,0.5014922780132964,0.06540936508400666,0.702502307090917,0.05640959505469926
PD36017a,SCANB,0.21723121307029847,0.025072669631423437,0.2833027281680368,0.03409662133516532
PD36024a,SCANB,0.11966777732923985,0.047269529741387775,0.2181697659873946,0.032502336693963324
PD36026a,SCANB,0.3934716481477648,0.03640339221136696,0.5937517991041328,0.033984203894378624
PD36038a,SCANB,0.6537281229207439,0.031111046118651908,0.7399320933298741,0.03930668100518124
PD36039a,SCANB,0.5624713962795648,0.04786703556461165,0.7576871548556191,0.05045476578135557
PD36054a,SCANB,0.20259325294772187,0.012076413918963858,0.37014767003508914,0.22159245177190812
PD36067a,SCANB,0.4673459330280537,0.020989748709237612,0.6187186997144111,0.11025285905473271
f393bafe-7503-5c45-e040-11ac0d484511,PCAWG,0.46870061704713484,0.02948689040117272,0.5341970186461417,0.03824638123799462
f393bb0c-4178-ca4a-e040-11ac0d48455f,PCAWG,0.1336123486915749,0.034037480565862914,0.5447261412507165,0.19502691027871044
f221cbb5-eefa-187f-e040-11ac0c481708,PCAWG,0.4390365480185502,0.07256673786909507,0.8075248545526142,0.04238025397846703
f393bb08-4121-cad8-e040-11ac0d484535,PCAWG,0.3448179204890718,0.026122881743476014,0.4039797597018643,0.03867146216200873
f393bb07-270c-2c93-e040-11ac0d484533,PCAWG,0.32711181285272,0.04257133657031307,0.3744759395905039,0.04227513092559893
fc8130e0-a38a-23b9-e040-11ac0c48327f,PCAWG,0.8443175726875215,0.014998672017835765,0.9086973140571003,0.016948821773044218
fc806c50-2f6e-418d-e040-11ac0d485f01,PCAWG,0.43707590683136005,0.022777926887735816,0.6524610531757117,0.056662867313850625
fc8130df-6860-7677-e040-11ac0d485ddc,PCAWG,0.4488686891308419,0.024750422778083026,0.5025990702375057,0.05483779052497286
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,PCAWG,0.6618771357047125,0.038850370063882166,0.8327510827531022,0.041700511280659734
fc8130df-8ec8-5b1e-e040-11ac0d485e06,PCAWG,0.25982325236602366,0.13469790645904484,0.4129032893553395,0.06728228116332693
fc8130df-90ba-5d94-e040-11ac0d485e0c,PCAWG,0.35286648249681724,0.03228483770012715,0.5106454898401543,0.036551426010466334
fc813235-5ed8-7695-e040-11ac0d485e3e,PCAWG,0.45494251743276093,0.023554140991834824,0.546915948373582,0.03465541644434644
fc9f6916-da31-ab17-e040-11ac0c4808f3,PCAWG,0.8017957932961715,0.02543405875096651,0.852897406786409,0.023671373721337947
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,PCAWG,0.23154480207893322,0.02313026783752053,0.27574085617921684,0.042812894863459794
fc8130e3-01ba-c740-e040-11ac0c483291,PCAWG,0.3411451352917857,0.03929753580560908,0.3730671918778873,0.042336033315349096
fc63cbab-d27a-5ebb-e040-11ac0c48724f,PCAWG,0.2774964769206925,0.03969574311496866,0.4150401706654053,0.043217391136886225
fca6150f-d555-a29e-e040-11ac0d4873b2,PCAWG,0.7177229705319572,0.013366826795825005,0.7912001958583044,0.098387147575297
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,PCAWG,0.25002677962539305,0.03240487524325881,0.3583765639231281,0.027466809488106023
b752b444-f033-4be4-9d24-e5e80b4181af,PCAWG,0.10221725711014909,0.025689454486852614,0.1728771112001442,0.0286707694608301
71fda5a9-7049-406f-9348-2c24f7ddf5f4,PCAWG,0.41659488977046716,0.03242042772384325,0.6689835013113141,0.038956877262636795
6e839eaf-1dbb-43f5-8846-c980e05540c7,PCAWG,0.701048843230033,0.02432083489446392,0.8585528648064589,0.027801386374158393
d8fbb398-d1da-4444-984a-22c8523625da,PCAWG,0.23201950149280298,0.022991985501438463,0.31629093324852275,0.02298164105027536
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,PCAWG,0.3239442092120867,0.052436087193818315,0.6879134783285878,0.043887438050963554
418e916b-7a4e-4fab-8616-15dcec4d79f8,PCAWG,0.34318949508679303,0.02090293987263186,0.4096094052939197,0.033539381672351445
6c8e9197-fd16-4fed-bfda-e349cab26314,PCAWG,0.3107383876959315,0.02982289294005108,0.4601339635448527,0.0470581138434926
207f8a42-5b05-4876-b0ae-ebfaeea27844,PCAWG,0.1383456321714436,0.07189207321902766,0.30887829063594624,0.04759203940071434
110b5f05-ded7-45ec-b0f6-a941c92d77dd,PCAWG,0.1987364741765146,0.02744738886546546,0.40185447740104424,0.03666398137580942
987528ac-437a-4eb8-a335-4f2076d5c006,PCAWG,0.3088633248682136,0.16918291144617112,0.5941754548983867,0.05054316082891427
ea43434b-197e-48ac-ae2e-46bc7f3776de,PCAWG,0.2647609177838644,0.03729843741367011,0.47372167998241493,0.029693667841919312
43f7a2e0-fec9-4e43-872d-18c6c946fa17,PCAWG,0.26962182047602296,0.019902499312482412,0.2895547935854488,0.1613804986732039
eddfbfb9-3ae8-449b-b870-46062a2571c1,PCAWG,0.21987971804618434,0.022734973710583056,0.43685596239030994,0.043866331440157245
d5372745-95cf-4572-a6e7-e7f5b796911a,PCAWG,0.10086671572498421,0.039865975900631345,0.16755550553137433,0.024975864857357262
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,PCAWG,0.4633036468476458,0.02683116798405604,0.5415277613859875,0.036629038577432396
7456abd5-303e-4e6f-bf4e-47efefc7310f,PCAWG,0.6231402586435989,0.02161287123317679,0.8511949802888629,0.054797153301782815
Patient101,INFORM,0.34046411891471307,0.029110848025341293,0.31222576846957983,0.03533665721334087
Patient17,INFORM,0.5890722671989792,0.03399033237728952,0.6231161305864651,0.04517322282024119
Patient18,INFORM,0.42863586199351356,0.04424544509689747,0.46788281466090015,0.04949449682358347
Patient25,INFORM,0.7534607028780148,0.02522735890043858,0.8468509477722918,0.015005575302685651
Patient26,INFORM,0.7224811651214881,0.03245768564218995,0.784697168681815,0.020364614016095118
Patient33,INFORM,0.7841056525441716,0.025797325735197496,0.8785815029860212,0.027163420312471105
Patient34,INFORM,0.5288062868671978,0.037195033672640564,0.7701533011675507,0.028541534996504823
Patient82,INFORM,0.34020341437166995,0.037441989973904265,0.4499049517756595,0.044246255604309434
