cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT6_sc001,"[99, 9, 0]",805.161418,0.4062567467233962,[0.02646779 0.04989019 0.07077107],[2660  753    0],3.552713678800501e-14
BTT6_sc002,"[157, 13, 2]",1028.21155,0.4096633561910164,[0.03416599 0.06357263 0.08910832],[3809  385  195],6.257719659362428e-14
BTT6_sc003,"[120, 1, 0]",958.055812,0.415270437422692,[0.02634859 0.04958644 0.07023786],[4434   84    0],4.304333830526014e-14
BTT6_sc004,"[135, 7, 1]",991.952469,0.41205147044222484,[0.03096508 0.05793186 0.08159949],[3843  237  126],1.2162552774196292e-13
BTT6_sc005,"[27, 1, 0]",725.227635,0.3663483790669182,[0.00711591 0.01383506 0.02019584],[2836  565    0],1.9551301704635223e-13
BTT6_sc006,"[80, 5, 0]",1094.159325,0.36098807359290025,[0.01679265 0.0322137  0.04643567],[3522  803    0],2.1316282072803006e-14
BTT6_sc007,"[74, 12, 0]",696.875895,0.36680645260032446,[0.02203667 0.04181546 0.05967181],[1638 1194    0],1.517719948885615e-14
BTT6_sc008,"[51, 4, 0]",616.275412,0.3486561663064165,[0.01495297 0.02871345 0.04142644],[2318  708    0],4.214014515571438e-14
BTT6_sc009,"[68, 1, 1]",719.764889,0.33404983417181516,[0.01928182 0.03693832 0.0531693 ],[3392    0   76],0.7324071044561558
BTT6_sc010,"[139, 10, 1]",989.617869,0.40191173989015117,[0.0258851  0.04879547 0.06920747],[4327  533  173],7.496562604817282e-14
BTT6_sc011,"[149, 6, 0]",886.342717,0.4130124951190941,[0.03180172 0.05931598 0.08332089],[4195  364    0],1.1546319456101628e-14
BTT6_sc012,"[150, 10, 0]",971.075457,0.4115818027812624,[0.02802023 0.05259994 0.07434247],[4296  753    0],3.03543989777123e-14
BTT6_sc013,"[149, 8, 2]",1003.540241,0.4051348640700024,[0.02904139 0.05450892 0.07700798],[4582   83  278],6.039776519845965e-14
BTT6_sc014,"[48, 2, 0]",765.588785,0.38130200147280263,[0.01289379 0.02461807 0.03534538],[3109  403    0],2.2048481418057992e-14
BTT6_sc015,"[120, 8, 1]",780.236804,0.45096026539325507,[0.03252064 0.06034076 0.08442145],[3098  308  114],2.0540557193219527e-13
BTT6_sc016,"[119, 4, 0]",807.348914,0.4039681960755708,[0.0273054  0.05130507 0.07256115],[3929  306    0],1.5528723513228133e-13
BTT6_sc017,"[131, 7, 0]",1137.869079,0.3934585812810049,[0.02639212 0.04967922 0.0703766 ],[4190  552    0],2.993819052001708e-14
BTT6_sc018,"[133, 5, 0]",888.391647,0.39382051366227855,[0.02589519 0.04881077 0.0692336 ],[4554  411    0],2.9213828081358803e-13
BTT6_sc019,"[99, 4, 1]",751.38905,0.3885247278121414,[0.02519407 0.04753804 0.06750099],[3584   58  162],5.483737567300697e-14
BTT6_sc020,"[56, 2, 1]",629.524207,0.38674588862465603,[0.02073677 0.03947739 0.05650284],[2463    0  133],0.5155200101313441
BTT6_sc021,"[125, 13, 0]",1101.648248,0.44261374274480436,[0.0259697  0.04880079 0.06903358],[3102 1177    0],2.864289338439558e-14
BTT6_sc022,"[118, 10, 0]",767.672333,0.42560378402647986,[0.0281242  0.05286924 0.07478626],[3047  800    0],1.464821375527116e-14
BTT6_sc023,"[81, 5, 0]",640.676439,0.386207926920368,[0.0260926  0.04918996 0.06978142],[2543  399    0],8.881784197001252e-15
BTT6_sc024,"[87, 5, 0]",901.751791,0.38755918622196783,[0.02266929 0.04301767 0.06139593],[3076  518    0],1.0754930827277416e-13
BTT6_sc025,"[93, 11, 0]",665.821296,0.3886478861288475,[0.02640866 0.04973793 0.07050502],[2315  862    0],6.551852469263577e-14
BTT6_sc026,"[123, 5, 0]",801.983655,0.387096462680946,[0.02922714 0.05482372 0.07741729],[3759  331    0],6.217248937900877e-14
BTT6_sc027,"[87, 6, 2]",564.59627,0.42080945452385904,[0.02537868 0.04772325 0.06757581],[2917    0  308],0.2019013846446785
BTT6_sc028,"[108, 5, 1]",895.147474,0.38373559889296516,[0.0210873  0.04008487 0.05730508],[4507  136  236],4.64413072456065e-14
BTT6_sc029,"[101, 6, 0]",761.733117,0.4159110143876194,[0.02594335 0.04879409 0.06908919],[3166  509    0],2.1316282072803006e-14
BTT6_sc030,"[79, 0, 0]",600.637055,0.40538602501792687,[0.02508494 0.04724904 0.06697828],[3149    0    0],0.0
BTT6_sc031,"[146, 8, 1]",873.394737,0.4055972175802139,[0.02790892 0.05241578 0.07410212],[4518  346  145],9.940681783991268e-14
BTT6_sc032,"[102, 9, 0]",874.622762,0.3971385001327178,[0.02860701 0.05367063 0.07580085],[2699  629    0],1.3596817002775027e-13
BTT6_sc033,"[86, 8, 0]",809.663136,0.36389382053188024,[0.02231803 0.04241175 0.06059758],[2692  800    0],6.149390058524858e-14
BTT6_sc034,"[111, 6, 0]",927.314996,0.4101171677234263,[0.02409146 0.04543527 0.06447532],[3794  563    0],1.8009217653609223e-13
BTT6_sc035,"[114, 8, 0]",890.942063,0.4172527502978912,[0.02721193 0.05102066 0.07201468],[3321  620    0],3.257326998510068e-14
BTT6_sc036,"[111, 6, 1]",1127.988669,0.3169150582294975,[0.0222546  0.04247754 0.06092485],[4371  226  182],6.640618769355784e-14
BTT6_sc037,"[66, 8, 1]",488.740903,0.3870431705269844,[0.02326606 0.04408272 0.0628307 ],[1877  429  198],4.0053209413625325e-14
BTT6_sc038,"[94, 8, 0]",955.49716,0.3501263292334176,[0.01857031 0.03553167 0.05108624],[3474 1055    0],1.5888218580782548e-14
BTT6_sc039,"[118, 12, 1]",978.058131,0.38253643759003475,[0.0270119  0.05087208 0.07209979],[3231  660  141],9.547814734657357e-14
BTT6_sc040,"[196, 14, 0]",984.769565,0.47455007791229303,[0.04079171 0.07462486 0.10307892],[4003  626    0],4.832213032818602e-14
BTT6_sc041,"[89, 3, 0]",662.376782,0.387254667591021,[0.02337036 0.04424054 0.0629995 ],[3391  288    0],2.2061894264123476e-14
BTT6_sc201,"[0, 0, 0]",0.0,0.44882565644959616,[0.02207558 0.04227655 0.06081416],[0 0 0],0.0
