cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTH1_sc301,"[64, 5, 0]",1242.941816,0.44248650549637925,[0.0232336  0.04370293 0.06187163],[2003  514    0],3.0544405700531106e-14
BTH1_sc303,"[37, 4, 0]",920.148257,0.4002422401566403,[0.01749164 0.03326437 0.04757342],[1237  582    0],7.105427357601002e-15
BTH1_sc304,"[92, 6, 0]",1129.453106,0.40947194023015343,[0.02529489 0.04742541 0.06690667],[2959  488    0],6.306366940553779e-14
BTH1_sc305,"[48, 4, 0]",1157.67557,0.3464346412473214,[0.01402305 0.02700457 0.03906302],[2159  805    0],7.993605777301127e-15
BTH1_sc306,"[64, 15, 0]",1011.507676,0.44037793981719214,[0.02863529 0.05318348 0.07441152],[ 834 1036    0],2.3092638912203256e-14
BTH1_sc307,"[74, 9, 2]",1271.483076,0.39934137052203544,[0.01800017 0.03416706 0.04878198],[2858  157  578],1.0048984251024664e-13
BTH1_sc308,"[38, 4, 0]",821.462683,0.4216168054181403,[0.01978685 0.03751731 0.05350401],[1137  520    0],1.833312199718745e-14
BTH1_sc309,"[24, 0, 0]",446.271135,0.43036649214659684,[0.02152923 0.04057038 0.05754676],[1115    0    0],3.552713678800501e-15
BTH1_sc310,"[55, 6, 0]",1066.238246,0.3996780607896979,[0.02132943 0.04032658 0.05734066],[1645  643    0],1.8343042309562727e-13
BTH1_sc311,"[34, 2, 0]",884.81751,0.47310825399941114,[0.01114952 0.02134927 0.03073961],[1979  652    0],2.2048481418057992e-14
BTH1_sc312,"[53, 6, 0]",867.375922,0.4342551870220241,[0.02698996 0.0503692  0.07077786],[1326  461    0],1.432144669219779e-14
BTH1_sc313,"[60, 8, 0]",755.356734,0.45653646421314065,[0.03003401 0.05521992 0.07663808],[1367  488    0],7.32410687763558e-15
BTH1_sc314,"[53, 5, 0]",1050.731124,0.3206297996991529,[0.01767143 0.03377711 0.04850754],[2117  610    0],1.5888218580782548e-14
BTH1_sc315,"[37, 5, 0]",841.743162,0.3471278782178563,[0.0192943  0.0366978  0.05246487],[1121  555    0],2.916703351948409e-14
BTH1_sc316,"[40, 9, 0]",707.9708,0.3419272436993956,[0.02128048 0.04028498 0.05734262],[759 815   0],1.2434497875801753e-14
BTH1_sc317,"[51, 5, 2]",1071.814576,0.3014351909830933,[0.01708188 0.0327181  0.04707108],[2436    0  337],0.7026806112418175
BTH1_sc318,"[46, 5, 0]",1049.862864,0.33902241971318925,[0.01649903 0.03154862 0.04533204],[1745  704    0],7.993605777301127e-15
BTH1_sc319,"[31, 3, 0]",679.258662,0.3439404635254581,[0.01850135 0.03529217 0.05059143],[1143  364    0],3.552713678800501e-15
BTH1_sc320,"[42, 5, 0]",954.611618,0.3698770189051669,[0.01887904 0.03588289 0.05127505],[1340  605    0],6.006569927152547e-14
BTH1_sc321,"[68, 9, 0]",1376.785056,0.3799179256328934,[0.01834104 0.03486839 0.04984022],[1986 1164    0],2.223301897827565e-13
BTH1_sc322,"[24, 0, 0]",1180.270649,0.4349224235530491,[0.02430012 0.04548549 0.0641287 ],[988   0   0],3.4503942295053602e-15
BTH1_sc323,"[63, 4, 0]",1115.872069,0.39496836008014125,[0.02123228 0.04015628 0.05712172],[2349  426    0],2.3092638912203256e-14
BTH1_sc324,"[55, 2, 0]",1135.268521,0.3321532473769146,[0.01779071 0.03396529 0.04872418],[2733  246    0],6.231203441612375e-14
