sample_id_x,data_type_x,count,mean_value,Q1,Q3,IQR
BTT4,scNormal,31,217.09884998412554,174.13487330902709,267.219797290122,93.08492398109493
BTT4,trunk_cell,57,290.5893537711475,240.5147037808604,320.42085728914986,79.90615350828946
BTT4,scTumor,57,395.51359736115336,288.90371404526184,482.6189345763727,193.71522053111084
BTH4,scNormal,10,228.90528105079966,209.44390878689472,316.24899803404594,106.80508924715122
BTH4,trunk_cell,50,456.8457714944148,389.25741223288503,500.7779547534513,111.52054252056627
BTH4,scTumor,50,421.8377212852736,329.2810299774169,655.8518950011096,326.5708650236927
BTE1,scNormal,2,198.88744075169743,179.66141709206923,218.11346441132562,38.452047319256394
BTE1,trunk_cell,18,315.59949812841336,293.97930612517985,344.68987183017623,50.710565704996384
BTE1,scTumor,18,442.0676402152143,349.370555509543,520.9163661048736,171.54581059533064
BTH5,scNormal,0,,,,
BTH5,trunk_cell,9,597.814988447242,559.2496873208527,632.8140049701972,73.5643176493445
BTH5,scTumor,9,684.9818783463008,601.5435070308775,764.3002495278085,162.756742496931
BTT7,scNormal,8,319.57545055406644,265.3932879625183,330.188887191622,64.79559922910369
BTT7,trunk_cell,58,444.878590275237,396.0419600610881,516.9476738423499,120.9057137812618
BTT7,scTumor,58,696.773093007752,482.61160487741205,826.5555055630671,343.943900685655
BTE4,scNormal,3,346.6369621725398,297.3960169399026,395.6576745445208,98.26165760461816
BTE4,trunk_cell,46,916.8455249793146,847.6467578336907,961.5287930990396,113.88203526534892
BTE4,scTumor,46,1142.8665991231233,998.7911321104478,1233.1444033678013,234.3532712573534
BTE7,scNormal,0,,,,
BTE7,trunk_cell,0,,,,
BTE7,scTumor,13,120.70016105640886,56.2622274021078,188.80325640540835,132.54102900330054
BTH3,scNormal,3,162.70589015478924,149.93267762892174,187.89319409439088,37.96051646546914
BTH3,trunk_cell,0,,,,
BTH3,scTumor,15,140.7480021913045,98.2329257323903,222.81550752608206,124.58258179369176
BTT5,scNormal,25,190.90959448716924,159.71227108035137,234.60773028825028,74.89545920789891
BTT5,trunk_cell,0,,,,
BTT5,scTumor,20,166.97736472616396,0.0,344.5623625178674,344.5623625178674
BTT1,scNormal,17,162.73445181144265,122.39495189597635,205.33837236974864,82.94342047377229
BTT1,trunk_cell,0,,,,
BTT1,scTumor,60,209.89231946183253,108.80818464402954,306.77403706085636,197.9658524168268
BTE5,scNormal,0,,,,
BTE5,trunk_cell,0,,,,
BTE5,scTumor,17,276.10622437981147,196.62705618680815,304.7635881405079,108.13653195369977
BTH1,scNormal,1,542.635771450336,542.635771450336,542.635771450336,0.0
BTH1,trunk_cell,0,,,,
BTH1,scTumor,21,372.8086781527442,284.64791993536863,542.3060509787124,257.65813104334376
BTE6,scNormal,0,,,,
BTE6,trunk_cell,0,,,,
BTE6,scTumor,20,389.5620994425328,299.3369817713998,475.44988453131583,176.11290275991604
BTE3,scNormal,0,,,,
BTE3,trunk_cell,0,,,,
BTE3,scTumor,39,394.1025132115976,328.2794751816997,469.4653612800741,141.1858860983744
BTT3,scNormal,7,303.5774955516376,203.0476796772167,435.4080447368906,232.36036505967388
BTT3,trunk_cell,0,,,,
BTT3,scTumor,50,419.24467741074034,282.10216292965083,512.6849464878837,230.5827835582329
BTH7,scNormal,3,65.93151151931833,59.02099290267546,124.73828524129846,65.717292338623
BTH7,trunk_cell,0,,,,
BTH7,scTumor,11,444.0770390830503,340.2475848366421,544.5646035215085,204.3170186848664
BTT6,scNormal,6,324.9390053828939,295.6127068975113,476.88248422867525,181.26977733116394
BTT6,trunk_cell,0,,,,
BTT6,scTumor,42,578.5010587795693,423.74255428003727,734.6672963398066,310.92474205976936
BTE2,scNormal,16,205.1851368717363,188.6461167474941,221.43609739090857,32.78998064341448
BTE2,trunk_cell,0,,,,
BTE2,scTumor,5,656.5951250217063,418.78464687815205,684.3990782190979,265.6144313409458
BTH6,scNormal,0,,,,
BTH6,trunk_cell,0,,,,
BTH6,scTumor,22,897.9479065053702,777.5712380690047,1023.2601607959024,245.68892272689766
BTT2,scNormal,4,134.44845889792745,110.81969133341467,268.2005586267297,157.38086729331502
BTT2,trunk_cell,0,,,,
BTT2,scTumor,12,958.6440958647039,642.0106597915981,1185.360658830368,543.34999903877
