cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT3_sc202,"[28, 1]",3000.590477,0.33946968930270216,[0.01316674 0.02494978],[1923  148],1.0695084443661336e-14
BTT3_sc203,"[11, 0]",3023.687137,0.3246842616580311,[0.01254649 0.02386517],[877   0],0.0
BTT3_sc204,"[15, 0]",2810.221798,0.2989005461339465,[0.01248812 0.02374079],[1201    0],2.9843171645121357e-15
BTT3_sc205,"[59, 0]",2878.068327,0.3831221759546381,[0.01714802 0.03213407],[3441    0],1.0924694265458748e-14
BTT3_sc206,"[46, 0]",3003.611466,0.33275159368795065,[0.01214389 0.02295531],[3788    0],0.0
BTT3_sc337,"[50, 4]",1397.497183,0.311020498906085,[0.01247689 0.02373751],[3176  606],5.329070518200751e-15
BTT3_sc338,"[52, 3]",1500.448192,0.30709581636149075,[0.01582634 0.02990071],[2888  311],7.944109290391274e-15
BTT3_sc339,"[29, 0]",1429.716966,0.30217364846773603,[0.01249455 0.02378917],[2321    0],3.552713678800501e-15
BTT3_sc340,"[62, 12]",1317.653488,0.330254584027883,[0.01713025 0.03220026],[2154 1152],1.5888218580782548e-14
BTT3_sc341,"[46, 7]",1329.175833,0.3422493007559732,[0.01552118 0.02922319],[1919  794],1.0695084443661336e-14
BTT3_sc342,"[46, 2]",1333.888212,0.2783747866234376,[0.00997971 0.01913596],[4057  393],1.354472090042691e-14
BTT3_sc343,"[54, 1]",1328.518442,0.3617561090737446,[0.0153157  0.02881995],[3362  122],7.108895957933346e-15
BTT3_sc344,"[57, 2]",1268.948025,0.36280808141454773,[0.01427546 0.02680561],[3656  254],2.6867397195928788e-14
BTT3_sc345,"[3, 0]",158.255609,0.3756625969679233,[0.02886738 0.05265522],[104   0],4.440892098500626e-16
BTT3_sc346,"[47, 5]",1448.889079,0.3356527861909717,[0.01333225 0.02517964],[2618  679],8.881784197001252e-16
BTT3_sc347,"[52, 5]",1262.718014,0.29650811724720944,[0.01358203 0.02583706],[2949  656],3.552713678800501e-15
BTT3_sc348,"[51, 4]",1240.775437,0.3281917261256814,[0.01517363 0.02863223],[2761  458],7.755684626330685e-15
BTT3_sc349,"[65, 4]",1372.386988,0.3660154421593722,[0.01709485 0.03206215],[3246  421],8.43769498715119e-15
BTT3_sc350,"[34, 3]",1228.366785,0.3211536426339789,[0.0134195  0.02539322],[2006  397],7.119291619286993e-15
BTT3_sc351,"[36, 2]",1296.50602,0.28892562361648944,[0.00997494 0.01910126],[3047  398],8.62265274246159e-15
BTT3_sc352,"[65, 0]",1366.794708,0.35766034045957595,[0.01426405 0.02687329],[4557    0],0.0
BTT3_sc353,"[48, 5]",1453.681317,0.3594230750565375,[0.01442503 0.02712383],[2481  635],1.1546319456101628e-14
BTT3_sc354,"[51, 6]",1219.345855,0.3626697767341154,[0.01371831 0.02577202],[2655  798],2.1316282072803006e-14
