cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT6_sc001,"[162, 3]",1418.936597,0.4062567467233962,[0.02476743 0.04649731],[6189  252],7.160723346098895e-14
BTT6_sc002,"[149, 7]",1384.173662,0.4096633561910164,[0.02849464 0.0532011 ],[4586  476],3.835655860784681e-14
BTT6_sc003,"[118, 2]",1315.904651,0.415270437422692,[0.02335041 0.04384077],[4795  183],1.422645865968639e-14
BTT6_sc004,"[149, 7]",1554.608038,0.41205147044222484,[0.02739047 0.05123394],[4738  512],7.900795113793211e-14
BTT6_sc005,"[40, 0]",1592.110267,0.3663483790669182,[0.00645915 0.01247195],[6193    0],2.715385024216436e-14
BTT6_sc006,"[87, 7]",1424.465012,0.36098807359290025,[0.01495152 0.02856165],[4091 1149],1.7763568394002505e-15
BTT6_sc007,"[127, 5]",1608.395059,0.36680645260032446,[0.01977285 0.0375336 ],[5616  558],2.6362595803518882e-14
BTT6_sc008,"[91, 1]",1645.591074,0.3486561663064165,[0.01382812 0.02645483],[6317  176],3.9968028886505635e-15
BTT6_sc009,"[88, 1]",1334.670049,0.33404983417181516,[0.01638115 0.03137002],[5157  144],2.9611960420744366e-14
BTT6_sc010,"[98, 1]",1268.89447,0.40191173989015117,[0.02254662 0.04248833],[4209   97],1.9761969838327786e-14
BTT6_sc011,"[141, 5]",1366.581096,0.4130124951190941,[0.02636293 0.04932251],[4823  382],8.260059303211165e-14
BTT6_sc012,"[126, 5]",1391.553962,0.4115818027812624,[0.02559424 0.04794212],[4371  399],1.687538997430238e-14
BTT6_sc013,"[140, 4]",1337.574332,0.4051348640700024,[0.02552021 0.04782433],[5051  316],3.108624468950438e-14
BTT6_sc014,"[69, 2]",1572.596827,0.38130200147280263,[0.01166048 0.02219141],[5295  417],1.422645865968639e-14
BTT6_sc015,"[176, 6]",1451.057071,0.45096026539325507,[0.02713712 0.05045696],[5856  458],1.2582074807429523e-13
BTT6_sc016,"[134, 9]",1551.621958,0.4039681960755708,[0.02258463 0.04254209],[4698  867],4.085620730620576e-14
BTT6_sc017,"[134, 5]",1369.132108,0.3934585812810049,[0.0235584  0.04429042],[5086  433],6.217248937900877e-15
BTT6_sc018,"[105, 2]",1317.306755,0.39382051366227855,[0.02249483 0.0424258 ],[4396  191],4.884981308350689e-15
BTT6_sc019,"[137, 7]",1547.437415,0.3885247278121414,[0.02283386 0.04302368],[5104  638],8.149974737360183e-14
BTT6_sc020,"[110, 3]",1619.25325,0.38674588862465603,[0.01834453 0.03486281],[5411  394],3.7030223716586206e-14
BTT6_sc021,"[101, 4]",1335.482641,0.44261374274480436,[0.02282285 0.04284086],[3840  405],3.019806626980426e-14
BTT6_sc022,"[172, 9]",1632.022616,0.42560378402647986,[0.02674674 0.05000134],[5465  697],4.6897166265737003e-14
BTT6_sc023,"[147, 5]",1665.762642,0.386207926920368,[0.02409429 0.04536687],[5510  424],5.728578676879116e-14
BTT6_sc024,"[103, 2]",1461.558155,0.38755918622196783,[0.01969442 0.03730522],[4894  231],3.397282455352979e-14
BTT6_sc025,"[141, 9]",1756.084488,0.3886478861288475,[0.02327098 0.04391973],[4883  828],1.2434497875801753e-14
BTT6_sc026,"[157, 8]",1681.09114,0.387096462680946,[0.02545302 0.04785103],[5301  628],4.0827234693669837e-14
BTT6_sc027,"[143, 6]",1477.591803,0.42080945452385904,[0.02356338 0.04411774],[5329  531],5.950795411990839e-14
BTT6_sc028,"[108, 6]",1412.806561,0.38373559889296516,[0.0198273  0.03751003],[4493  664],2.2748467065386707e-14
BTT6_sc029,"[155, 6]",1607.00897,0.4159110143876194,[0.02454532 0.04599635],[5605  509],1.2434497875801753e-14
BTT6_sc030,"[147, 5]",1867.21021,0.40538602501792687,[0.02228218 0.04192954],[5914  482],1.0658141036401503e-14
BTT6_sc031,"[137, 3]",1390.348039,0.4055972175802139,[0.02502417 0.0468275 ],[5151  237],2.353672812205332e-14
BTT6_sc032,"[130, 6]",1522.363337,0.3971385001327178,[0.02384937 0.04484369],[4723  521],9.769962616701378e-15
BTT6_sc033,"[96, 2]",1573.746971,0.36389382053188024,[0.01850402 0.03523031],[4820  250],5.750955267558311e-14
BTT6_sc034,"[104, 12]",1415.671926,0.4101171677234263,[0.02128269 0.04005667],[3128 1234],1.4210854715202004e-14
BTT6_sc035,"[108, 4]",1229.122625,0.4172527502978912,[0.02379579 0.04461083],[4043  354],5.995204332975845e-14
BTT6_sc036,"[91, 5]",1409.939564,0.3169150582294975,[0.01914769 0.03658455],[3962  550],6.464206227338125e-14
