cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT1_sc001,"[0, 0]",0.0,0.4610511542060267,[0.05972952 0.10572425],[0 0],0.0
BTT1_sc002,"[0, 0]",0.0,0.3114615480365183,[0.03385476 0.06313092],[0 0],0.0
BTT1_sc004,"[114, 14]",939.562071,0.32690943696158137,[0.02890671 0.0543324 ],[2951  786],3.776586443654626e-14
BTT1_sc009,"[74, 33]",752.230596,0.3126594778581117,[0.03526739 0.06520176],[ 914 1147],0.0
BTT1_sc010,"[155, 25]",1245.715208,0.39806480206776723,[0.03127785 0.05802369],[3212 1371],4.832213032818602e-14
BTT1_sc012,"[83, 6]",1164.07373,0.33697068776294126,[0.01868528 0.03556514],[3481  673],1.4888583356622763e-14
BTT1_sc013,"[89, 9]",1291.72695,0.3576165172948007,[0.01565419 0.02988241],[3637 1374],3.730349362740526e-14
BTT1_sc014,"[130, 25]",1086.054118,0.3948235089926887,[0.0294928  0.05526279],[2160 1652],7.652779469160725e-14
BTT1_sc015,"[144, 22]",1151.985064,0.37385476008692076,[0.03241419 0.06025369],[3066 1106],7.105427357601002e-15
BTT1_sc016,"[146, 23]",1233.969943,0.3613712859148965,[0.02579556 0.04842379],[3545 1601],7.105427357601002e-15
BTT1_sc017,"[140, 24]",1009.424797,0.35472802666883485,[0.02785596 0.05214376],[3173 1450],7.105427357601002e-15
BTT1_sc020,"[58, 4]",1042.133786,0.2515298551917599,[0.01401709 0.02706623],[3275  594],1.4888583356622763e-14
BTT1_sc022,"[7, 0]",392.405059,0.41356995517781536,[0.04832333 0.08736805],[145   0],8.881784197001252e-16
BTT1_sc023,"[101, 24]",1101.314683,0.34826626045412057,[0.02326717 0.0439542 ],[1667 1961],1.0658141036401503e-14
BTT1_sc025,"[178, 31]",952.026759,0.44277476735355825,[0.04114537 0.07531555],[2766 1264],1.4210854715202004e-14
BTT1_sc026,"[0, 0]",0.0,0.44446312582136105,[0.05541725 0.09900789],[0 0],0.0
BTT1_sc027,"[135, 17]",1158.621371,0.36019153165643664,[0.0243279  0.04581294],[3774 1314],3.03543989777123e-14
BTT1_sc029,"[50, 2]",1053.662923,0.29842895521609475,[0.0115425  0.02218417],[3757  389],1.3766765505351941e-14
BTT1_sc031,"[0, 0]",0.0,0.3596020302517613,[0.03219965 0.05988502],[0 0],0.0
BTT1_sc032,"[140, 12]",1311.575476,0.3266856854817087,[0.02031845 0.03869211],[5187 1205],4.9769702052493514e-14
BTT1_sc033,"[0, 0]",141.233571,0.28671795412231704,[0.02383636 0.04523676],[0 0],0.0
BTT1_sc034,"[2, 0]",178.797945,0.34834278396771423,[0.03354195 0.06203827],[60  0],4.0606345283291873e-16
BTT1_sc037,"[20, 0]",2524.10118,0.3922217868338558,[0.01973343 0.03738629],[1014    0],0.0
BTT1_sc038,"[40, 2]",3002.937511,0.4099990151987657,[0.0319933  0.05965887],[1091  119],1.4708674422151798e-14
BTT1_sc050,"[15, 0]",2958.381953,0.448666532985763,[0.02922844 0.05414601],[513   0],4.236408328080943e-15
BTT1_sc061,"[19, 0]",2826.034763,0.4249691455121845,[0.02839788 0.05307704],[669   0],7.834421064886157e-16
BTT1_sc073,"[17, 0]",3036.302756,0.4961788681611538,[0.02589609 0.04800701],[656   0],0.0
