Sample,Cell,Private,Other,Clonal,Low coverage,Total
BTT6,BTT6_sc009,25,167,185,168,545
BTT6,BTT6_sc029,42,211,206,170,629
BTT6,BTT6_sc206,34,232,219,229,714
BTT6,BTT6_sc019,24,222,214,188,648
BTT6,BTT6_sc012,25,230,236,180,671
BTT6,BTT6_sc028,31,171,182,158,542
BTT6,BTT6_sc005,10,48,67,45,170
BTT6,BTT6_sc032,30,178,192,179,579
BTT6,BTT6_sc030,18,186,195,150,549
BTT6,BTT6_sc020,27,131,158,132,448
BTT6,BTT6_sc008,18,94,150,130,392
BTT6,BTT6_sc016,39,203,217,198,657
BTT6,BTT6_sc010,39,189,195,187,610
BTT6,BTT6_sc015,56,204,225,247,732
BTT6,BTT6_sc014,12,111,127,86,336
BTT6,BTT6_sc027,35,186,201,167,589
BTT6,BTT6_sc023,19,202,229,195,645
BTT6,BTT6_sc035,22,211,221,209,663
BTT6,BTT6_sc034,16,199,218,165,598
BTT6,BTT6_sc031,25,255,245,210,735
BTT6,BTT6_sc003,24,215,215,170,624
BTT6,BTT6_sc038,17,188,182,149,536
BTT6,BTT6_sc018,15,239,222,177,653
BTT6,BTT6_sc011,16,280,226,202,724
BTT6,BTT6_sc006,6,165,169,147,487
BTT6,BTT6_sc039,13,239,233,168,653
BTT6,BTT6_sc040,19,336,272,260,887
