cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTH4_sc001,"[79, 4, 0, 0]",2870.283876,0.40765374805158,[0.02358547 0.04513487 0.06483735 0.08288207],[2557  503    0    0],1.464821375527116e-14
BTH4_sc002,"[399, 20, 0, 0]",1285.849599,0.4115836093907533,[0.02905232 0.05520201 0.07874012 0.09995768],[11030  1785     0     0],1.4426817432597938e-13
BTH4_sc003,"[292, 16, 0, 0]",1225.108907,0.38600149159175295,[0.02473468 0.04728617 0.06785286 0.08663313],[9101 1753    0    0],5.1514348342607263e-14
BTH4_sc004,"[338, 18, 1, 0]",1292.191556,0.4111107605669351,[0.02614054 0.04979806 0.07121997 0.09065363],[10297  1603     0    88],2.82793854803357e-13
BTH4_sc005,"[60, 0, 0, 0]",764.798756,0.33954908993267996,[0.0184714  0.03591711 0.05239427 0.06796   ],[3248    0    0    0],4.166659409091841e-14
BTH4_sc006,"[249, 11, 0, 0]",1106.118624,0.40053103928582734,[0.02402258 0.04598315 0.0660687  0.08446624],[8266 1336    0    0],2.4868995751603507e-14
BTH4_sc007,"[358, 10, 1, 0]",1263.959409,0.39023834533040874,[0.02587412 0.04941857 0.07084873 0.09037993],[12500   759     0    89],5.104068967767027e-13
BTH4_sc008,"[395, 17, 1, 0]",1301.16091,0.38722373491432516,[0.02730424 0.05207844 0.07456077 0.09498938],[12239  1369     0    79],6.763984553058389e-13
BTH4_sc009,"[362, 46, 4, 1]",1057.70862,0.3656460893284399,[0.03256218 0.06148025 0.08715571 0.10999004],[8158 1453  654    0],1.0
BTH4_sc010,"[312, 11, 0, 0]",1251.83172,0.39799073874821667,[0.0253001  0.04832234 0.06927736 0.0883758 ],[10475  1200     0     0],2.3092638912203256e-14
BTH4_sc011,"[293, 10, 0, 0]",1155.594631,0.4112704066627141,[0.02165496 0.04143252 0.05950828 0.07605782],[11354  1379     0     0],1.0658141036401503e-13
BTH4_sc012,"[61, 0, 0, 0]",3014.767126,0.41975191142412993,[0.02398852 0.04579988 0.06564379 0.08372996],[2543    0    0    0],7.105427357601002e-15
BTH4_sc013,"[293, 13, 0, 0]",1133.15049,0.41505081434448554,[0.02838857 0.05393397 0.07692556 0.09765272],[8504 1197    0    0],1.7135169357880902e-13
BTH4_sc014,"[104, 13, 0, 0]",680.849706,0.4067066532903584,[0.0192482  0.03707265 0.05358802 0.06890898],[1589 2331    0    0],2.929642751054232e-14
BTH4_sc015,"[232, 7, 0, 0]",1130.203468,0.41067127906467576,[0.02034272 0.0390425  0.05624386 0.07209132],[9636 1101    0    0],1.0260286925897542e-13
BTH4_sc016,"[404, 12, 1, 0]",1228.294114,0.41990010802184524,[0.02822847 0.05360186 0.0764162  0.09696753],[12833   881     0    78],8.783997290481345e-14
BTH4_sc019,"[106, 2, 0, 0]",818.874,0.40835548585744613,[0.01116258 0.02169023 0.03162527 0.04101004],[8105  808    0    0],9.038606501942157e-14
BTH4_sc020,"[337, 11, 0, 0]",1301.16091,0.39820358116755555,[0.02573649 0.04910405 0.07033117 0.08964634],[11319  1154     0     0],1.3855583347321954e-13
BTH4_sc021,"[352, 12, 0, 0]",1301.16091,0.36408166736900704,[0.02448765 0.04687583 0.06735043 0.0860973 ],[12430  1272     0     0],2.717825964282383e-13
BTH4_sc022,"[312, 13, 1, 0]",1263.959409,0.36292166428248296,[0.02305913 0.04423746 0.06369572 0.08159462],[11454  1214     0   100],3.8085655129701004e-13
BTH4_sc023,"[314, 11, 0, 0]",1264.764317,0.3664200684076314,[0.02289415 0.04389614 0.06316962 0.08087824],[11696  1304     0     0],1.464821375527116e-13
BTH4_sc024,"[297, 11, 0, 0]",1280.799937,0.38207392991723366,[0.02540375 0.0485404  0.06961888 0.08884812],[9935 1146    0    0],1.2710574864626038e-13
BTH4_sc025,"[120, 4, 0, 0]",1203.072323,0.3095830764788963,[0.01031028 0.0201804  0.02963177 0.03868578],[8769 1664    0    0],3.907985046680551e-14
BTH4_sc026,"[192, 8, 0, 0]",1101.448073,0.3362612496785806,[0.01681868 0.03259069 0.04738638 0.0612761 ],[8898 1545    0    0],2.017944496945063e-13
BTH4_sc027,"[137, 2, 0, 0]",1237.467562,0.32895366411228155,[0.01147074 0.02239117 0.0327921  0.04270433],[10721   715     0     0],4.907185768843192e-14
BTH4_sc028,"[26, 0, 0, 0]",3022.985826,0.31310939583866,[0.01197019 0.02337572 0.03424738 0.04461594],[2172    0    0    0],4.150112057753542e-15
BTH4_sc029,"[201, 5, 0, 0]",1246.157031,0.3568092159333735,[0.01351174 0.02630153 0.03841204 0.04988596],[12319  1504     0     0],1.5720758028692217e-13
BTH4_sc030,"[148, 3, 0, 0]",1268.261998,0.3461948449104412,[0.0101094  0.0197725  0.02901193 0.03785035],[12184  1407     0     0],3.8958546965271006e-14
BTH4_sc031,"[243, 6, 0, 0]",1301.16091,0.3676923076923077,[0.01689302 0.03272422 0.04756599 0.0614907 ],[12274  1273     0     0],1.103058955909832e-13
