cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTE5_sc001,"[70, 5, 0, 0]",1788.439369,0.3698372202318101,[0.02566261 0.0490076  0.07024151 0.08957088],[1988  489    0    0],2.842170943040401e-14
BTE5_sc003,"[39, 7, 0, 0]",916.656717,0.3702336559394736,[0.03212545 0.06070986 0.0861129  0.10869428],[583 449   0   0],1.0817402316722178e-13
BTE5_sc004,"[85, 5, 0, 0]",1694.404015,0.38782385540069225,[0.03013255 0.05717419 0.0814247  0.10318387],[2248  389    0    0],1.5987211554602254e-14
BTE5_sc005,"[45, 4, 0, 0]",898.367365,0.34015063650210303,[0.03083118 0.05846803 0.08321489 0.10537607],[1103  257    0    0],1.687538997430238e-14
BTE5_sc007,"[48, 4, 1, 0]",886.460122,0.39422982168440895,[0.03637515 0.06832228 0.09633148 0.12089285],[1183    0   77   21],1.9885083071036744e-14
BTE5_sc008,"[46, 22, 4, 0]",710.676096,0.45810697052799665,[0.03049961 0.05659514 0.07891006 0.09806786],[  0 759 203 133],4.5635433489597437e-14
BTE5_sc009,"[48, 3, 1, 0]",985.01157,0.40101453290083133,[0.03306134 0.06233685 0.08822898 0.11114014],[1334    0   37   42],9.68124662951892e-15
BTE5_sc010,"[53, 3, 0, 0]",1133.020864,0.41711429403741285,[0.03613802 0.06783481 0.09559691 0.11993088],[1215  178    0    0],1.8572531896716263e-13
BTE5_sc011,"[35, 4, 1, 0]",776.681271,0.3416546679151026,[0.02491607 0.04768857 0.06849474 0.08751182],[1060  141    0   79],3.8232960353267636e-14
BTE5_sc012,"[41, 6, 0, 0]",932.573637,0.3646182676038401,[0.0274774  0.05231428 0.07475604 0.09504813],[746 507   0   0],7.105427357601002e-15
BTE5_sc014,"[31, 3, 0, 0]",633.14978,0.3766567616564901,[0.03032875 0.05751455 0.08185983 0.10366703],[701 221   0   0],3.552713678800501e-15
BTE5_sc015,"[45, 2, 0, 0]",1619.875868,0.3413735280791813,[0.01597115 0.03085731 0.0447386  0.05769515],[2210  379    0    0],3.102273850532274e-14
BTE5_sc016,"[9, 0, 0, 0]",684.479675,0.34133142527665666,[0.01028526 0.01996958 0.02909522 0.0377044 ],[875   0   0   0],0.0
BTE5_sc017,"[33, 3, 0, 0]",872.631726,0.41083369649603313,[0.03441633 0.06468491 0.09127508 0.11465617],[695 187   0   0],2.9110076379755343e-14
BTE5_sc020,"[18, 1, 0, 0]",886.030868,0.3879444726283263,[0.02211829 0.04223189 0.06052881 0.07719706],[630 120   0   0],5.329070518200751e-15
BTE5_sc021,"[27, 0, 0, 0]",543.145878,0.3295515216230646,[0.02028389 0.03906845 0.05646362 0.07257932],[1331    0    0    0],1.948573581568255e-14
BTE5_sc023,"[31, 1, 0, 0]",988.136533,0.37488209855670834,[0.02142337 0.04102067 0.05895215 0.07537803],[1252  126    0    0],1.0325074129013956e-14
