cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTH6_sc001,"[390, 22, 0, 0]",1844.590735,0.4567107692932081,[0.02362653 0.04481073 0.06380947 0.08087958],[12382  2666     0     0],2.6378749539683456e-13
BTH6_sc002,"[133, 7, 0, 0]",937.115341,0.4682726578411405,[0.01488271 0.02866185 0.04143447 0.05329759],[5672 1939    0    0],7.016609515630989e-14
BTH6_sc003,"[479, 8, 0, 0]",1868.930745,0.4669677168376064,[0.02382607 0.04516528 0.06428225 0.08144157],[18582   980     0     0],4.796163466380676e-14
BTH6_sc004,"[355, 23, 1, 0]",1751.734676,0.43410660980810234,[0.02567979 0.04857407 0.06898572 0.08721764],[10616  2042     0    82],3.414408560525436e-13
BTH6_sc005,"[397, 22, 0, 0]",1653.477846,0.4850269746731704,[0.02803045 0.05270308 0.07441057 0.09354564],[11004  2098     0     0],1.1368683772161603e-13
BTH6_sc006,"[171, 5, 0, 0]",1530.973777,0.5161046450297128,[0.01400184 0.02692174 0.03886094 0.04992068],[9479 1607    0    0],7.32410687763558e-14
BTH6_sc007,"[27, 1, 0, 0]",446.145529,0.4528097494922139,[0.01159502 0.02244198 0.03260104 0.04213236],[1658  391    0    0],1.855102611454866e-14
BTH6_sc008,"[275, 8, 0, 0]",1438.614256,0.49100437721466217,[0.02055555 0.03917734 0.05606384 0.07141356],[11202  1346     0     0],2.4868995751603507e-13
BTH6_sc009,"[286, 10, 0, 0]",1633.340847,0.4166418178234435,[0.02153345 0.04104136 0.05871793 0.07475733],[11270  1299     0     0],1.9539925233402755e-14
BTH6_sc010,"[213, 7, 0, 0]",1606.053517,0.5352761205445923,[0.01836964 0.03492555 0.04987321 0.06341812],[9295 1410    0    0],1.6237883758700547e-13
BTH6_sc011,"[43, 0, 0, 0]",939.448069,0.3782527139208174,[0.00472991 0.00930205 0.01372406 0.01800361],[9091    0    0    0],0.0
BTH6_sc012,"[31, 1, 0, 0]",1142.053933,0.30997756075977373,[0.00306874 0.00606142 0.00898116 0.0118311 ],[5665 2411    0    0],1.307554297107963e-13
BTH6_sc013,"[433, 23, 0, 0]",1873.824822,0.4855837227205185,[0.02815642 0.0528646  0.0745444  0.09361564],[12180  2139     0     0],2.3447910280083306e-13
BTH6_sc014,"[263, 9, 0, 0]",1418.97574,0.4653814958706943,[0.02520516 0.04762872 0.06758285 0.08537976],[8937  981    0    0],1.2256862191861728e-13
BTH6_sc015,"[305, 11, 0, 0]",1762.429964,0.39182814319410025,[0.01972744 0.03777024 0.05427634 0.06939371],[12972  1591     0     0],1.5631940186722204e-13
BTH6_sc016,"[534, 19, 1, 0]",1573.783043,0.5146958070704303,[0.02991105 0.05600018 0.07875043 0.09864481],[15489  1479     0    80],1.6836302837922188e-12
BTH6_sc017,"[292, 17, 0, 0]",1742.478447,0.4924857600150638,[0.02156145 0.04099642 0.05852792 0.07437894],[9365 2612    0    0],3.552713678800501e-14
BTH6_sc019,"[430, 17, 1, 0]",1784.065834,0.5133500125756192,[0.0292875  0.05488848 0.0772682  0.0968919 ],[12510  1342     0    82],8.220157551552995e-13
BTH6_sc020,"[190, 7, 0, 0]",1105.653506,0.48596063060064837,[0.02013852 0.03829867 0.05468935 0.06951944],[7622 1136    0    0],6.217248937900877e-14
BTH6_sc022,"[375, 8, 0, 0]",1337.520646,0.4507903185971845,[0.02192379 0.0417007  0.05954499 0.07567095],[15407  1084     0     0],1.0395861869767154e-13
BTH6_sc023,"[479, 17, 0, 0]",1712.166602,0.5169657199655174,[0.02968053 0.05551891 0.07801657 0.09767494],[13826  1542     0     0],9.21003415179851e-14
BTH6_sc024,"[163, 20, 0, 0]",737.02423,0.4806817370825007,[0.02811727 0.05273242 0.07427999 0.0931945 ],[3120 1807    0    0],2.842170943040401e-14
