cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT4_sc001,"[109, 11, 1, 0]",1223.687056,0.37400678551218214,[0.03251395 0.06139717 0.08705759 0.10990308],[2624  340  170    0],8.8578822404424e-14
BTT4_sc002,"[16, 0, 0, 0]",2392.353968,0.232900947619491,[0.00922866 0.01814035 0.02674744 0.03506228],[1734    0    0    0],3.594548429689639e-15
BTT4_sc003,"[23, 2, 0, 0]",466.431177,0.3217724824547087,[0.01272884 0.02478197 0.03620056 0.04702576],[859 568   0   0],8.43769498715119e-15
BTT4_sc004,"[41, 3, 0, 0]",1312.845449,0.2849772260066911,[0.01032938 0.02022832 0.02972004 0.03882777],[1992 1158    0    0],1.1374233532693354e-14
BTT4_sc015,"[31, 0, 0, 0]",2714.356836,0.3177413757818965,[0.00975459 0.01904578 0.02789932 0.03634096],[3178    0    0    0],0.0
BTT4_sc016,"[12, 1, 0, 0]",547.944446,0.3175065570541462,[0.00523126 0.01027123 0.01512974 0.01981662],[548 987   0   0],1.1102230246251565e-14
BTT4_sc017,"[34, 1, 0, 0]",776.227122,0.301755793501404,[0.00952282 0.01862009 0.02731577 0.03563379],[2859  418    0    0],9.547918011776346e-15
BTT4_sc018,"[37, 4, 0, 0]",674.246508,0.3268827857270468,[0.01254971 0.02441593 0.03563896 0.0462591 ],[1043 1143    0    0],3.2862601528904634e-14
BTT4_sc025,"[33, 0, 0, 0]",2426.778025,0.34150211841220707,[0.01277924 0.0248789  0.03634269 0.04721429],[2582    0    0    0],4.2773792279050397e-14
BTT4_sc026,"[33, 0, 0, 0]",2776.633238,0.362348699459181,[0.01340518 0.02603098 0.03793051 0.04915687],[2462    0    0    0],0.0
BTT4_sc027,"[9, 0, 0, 0]",1010.524931,0.3454512121473557,[0.00989479 0.01931168 0.02828142 0.03683478],[910   0   0   0],1.7763568394002505e-15
BTT4_sc028,"[49, 13, 3, 0]",764.165871,0.3208435128070152,[0.02209476 0.04238033 0.06100873 0.078132  ],[770 695   0 237],2.2048481418057992e-14
BTT4_sc029,"[56, 16, 7, 3]",701.301985,0.3380609580683205,[0.02978193 0.05649415 0.08045018 0.10196353],[1196    0  226  247],3.0
BTT4_sc030,"[35, 0, 0, 0]",2671.76154,0.36586353647282216,[0.01455212 0.02819702 0.04099829 0.0530195 ],[2405    0    0    0],7.105427357601002e-15
BTT4_sc031,"[36, 1, 0, 0]",629.727009,0.3408709555561412,[0.01176729 0.02289738 0.03342927 0.04340193],[2517  322    0    0],6.439293542825908e-15
BTT4_sc032,"[31, 1, 0, 0]",1979.861921,0.3760140932965833,[0.01819895 0.0351034  0.05081272 0.06542625],[1413  179    0    0],1.6594027833190754e-14
BTT4_sc033,"[49, 10, 0, 0]",936.631329,0.32303013956078375,[0.0203765  0.03919229 0.05657605 0.07265649],[ 522 1234    0    0],5.329070518200751e-15
BTT4_sc034,"[12, 1, 0, 0]",2141.579962,0.28114203945351096,[0.01070428 0.02094672 0.03075113 0.04014135],[521 354   0   0],7.105427357601002e-15
BTT4_sc035,"[9, 2, 0, 0]",573.219192,0.27679729637468425,[0.005187   0.01022157 0.01510876 0.01985363],[  0   0 596 106],0.1584587511593588
BTT4_sc036,"[17, 1, 0, 0]",826.475352,0.3594615993665875,[0.01334278 0.02594343 0.03784974 0.04910945],[775 295   0   0],1.855102611454866e-14
BTT4_sc042,"[4, 0, 0, 0]",879.905309,0.3519605688632154,[0.00460528 0.00903296 0.01329097 0.01738725],[869   0   0   0],8.981266322243058e-16
BTT4_sc044,"[9, 0, 0, 0]",749.848586,0.4279983077304623,[0.00771202 0.01505423 0.02204875 0.02871769],[1167    0    0    0],3.3972156231127004e-15
BTT4_sc045,"[41, 1, 0, 0]",2839.329831,0.3712616932816782,[0.01533225 0.02971305 0.0432037  0.0558655 ],[2275  240    0    0],4.508339437368909e-14
BTT4_sc046,"[41, 0, 0, 0]",917.14857,0.34383647852961713,[0.0082801  0.01623851 0.02388747 0.03123921],[4952    0    0    0],0.0
BTT4_sc047,"[18, 2, 0, 0]",522.55371,0.3561290189866908,[0.01002347 0.01953324 0.02856131 0.03713969],[352 843   0   0],9.979663786127904e-15
BTT4_sc048,"[46, 1, 0, 0]",2680.644871,0.3322204771801793,[0.01813764 0.03501392 0.05072499 0.06536698],[2286  158    0    0],7.847321480213184e-15
