cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTH4_sc002,"[0, 0]",51.866111,0.4115836093907533,[0.03346399 0.06152584],[0 0],0.0
BTH4_sc003,"[0, 0]",51.866111,0.38600149159175295,[0.03142109 0.05821055],[0 0],0.0
BTH4_sc004,"[0, 0]",51.866111,0.4111107605669351,[0.03229924 0.05986037],[0 0],0.0
BTH4_sc006,"[10, 0]",118.326458,0.40053103928582734,[0.03651269 0.067528  ],[274   0],1.2478901841140698e-15
BTH4_sc007,"[0, 0]",51.866111,0.39023834533040874,[0.03285694 0.06091148],[0 0],0.0
BTH4_sc008,"[0, 0]",51.866111,0.38722373491432516,[0.03095341 0.0575998 ],[0 0],0.0
BTH4_sc009,"[11, 0]",102.667654,0.3656460893284399,[0.03339123 0.06171043],[329   0],1.7763568394002505e-15
BTH4_sc010,"[4, 0]",83.95406,0.39799073874821667,[0.03320959 0.06170276],[120   0],0.0
BTH4_sc011,"[0, 0]",43.684971,0.4112704066627141,[0.02888642 0.05368905],[0 0],0.0
BTH4_sc013,"[0, 0]",51.866111,0.41505081434448554,[0.03099844 0.05786464],[0 0],0.0
BTH4_sc014,"[1, 0]",180.985603,0.4067066532903584,[0.02285069 0.04314567],[44  0],2.220446049250313e-16
BTH4_sc015,"[0, 0]",35.911988,0.41067127906467576,[0.02170346 0.04074191],[0 0],0.0
BTH4_sc016,"[0, 0]",51.866111,0.41990010802184524,[0.03329556 0.06114123],[0 0],0.0
BTH4_sc019,"[3, 1]",348.542968,0.40835548585744613,[0.01545361 0.02926736],[  0 133],0.1557997526654204
BTH4_sc020,"[0, 0]",54.433348,0.39820358116755555,[0.03090807 0.05712417],[0 0],0.0
BTH4_sc021,"[0, 0]",51.866111,0.36408166736900704,[0.02849432 0.05302047],[0 0],0.0
BTH4_sc022,"[0, 0]",51.866111,0.36292166428248296,[0.0271044  0.05083156],[0 0],0.0
BTH4_sc023,"[4, 0]",111.179725,0.3664200684076314,[0.02752497 0.05151109],[145   0],4.484071299491809e-16
BTH4_sc024,"[0, 0]",54.433348,0.38207392991723366,[0.02963036 0.05511952],[0 0],0.0
BTH4_sc025,"[0, 0]",46.238429,0.3095830764788963,[0.01359013 0.02597697],[0 0],0.0
BTH4_sc026,"[2, 0]",88.268627,0.3362612496785806,[0.02030028 0.03837646],[99  0],4.440892098500626e-16
BTH4_sc027,"[0, 0]",43.684971,0.32895366411228155,[0.01494456 0.02874917],[0 0],0.0
BTH4_sc029,"[0, 0]",51.866111,0.3568092159333735,[0.01754286 0.03333083],[0 0],0.0
BTH4_sc030,"[0, 0]",57.001901,0.3461948449104412,[0.01390432 0.02660919],[0 0],0.0
BTH4_sc031,"[0, 0]",51.866111,0.3676923076923077,[0.02033946 0.03866088],[0 0],0.0
BTH4_sc032,"[0, 0]",54.433348,0.3601930397424601,[0.01994219 0.03769701],[0 0],0.0
BTH4_sc033,"[1, 0]",44.042625,0.31962416927660225,[0.01770546 0.03378762],[56  0],1.1102230246251565e-16
BTH4_sc034,"[4, 0]",119.343591,0.407872300420781,[0.02096841 0.03929294],[191   0],1.118562192510497e-15
BTH4_sc035,"[0, 0]",51.866111,0.3679320606808449,[0.02010867 0.03810174],[0 0],0.0
BTH4_sc038,"[4, 0]",83.95406,0.372727335644928,[0.01894558 0.03604955],[211   0],8.881784197001252e-16
BTH4_sc039,"[0, 0]",51.866111,0.37843561622009186,[0.01907297 0.03612141],[0 0],0.0
BTH4_sc041,"[3, 0]",67.47748,0.35829509550196087,[0.01893711 0.03593562],[158   0],0.0
