cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTH5_sc002,"[8, 1]",576.065984,0.30365554690964464,[0.0202847 0.0381003],[308  72],2.0380985511143445e-15
BTH5_sc004,"[4, 2]",583.917932,0.3662137729170716,[0.0223357  0.04162016],[  0 144],0.050281443076390805
BTH5_sc005,"[5, 1]",544.688044,0.33856303686867195,[0.0211991  0.03963211],[145  74],2.220446049250313e-16
BTH5_sc012,"[9, 2]",589.860473,0.41078382079205805,[0.02757861 0.05061262],[190 114],1.7763568394002505e-15
BTH5_sc015,"[10, 3]",686.953248,0.3724371378961584,[0.02374406 0.04405421],[177 200],1.831026719408895e-15
BTH5_sc016,"[6, 2]",557.967182,0.3571474252918948,[0.02314666 0.04310189],[ 92 136],2.220446049250313e-15
BTH5_sc018,"[4, 3]",547.239382,0.3568992583770909,[0.02264523 0.04221435],[  0 157],0.87544065480976
BTH5_sc021,"[5, 1]",584.762475,0.3931264736825599,[0.02478682 0.04574972],[124  64],1.2560739669470201e-15
BTH5_sc024,"[0, 0]",10.748377,0.40696915920594995,[0.02506987 0.04635582],[0 0],0.0
