downsampling_ratio,AUC,TPR_at_FPR0.02,threshold_at_FPR0.02,n_samples
10,0.992951052474862,0.9242979242979243,0.66,2205
20,0.9899095613381328,0.8913308913308914,0.61,2205
30,0.9838336266907696,0.8754578754578755,0.59,1470
40,0.985652244580816,0.8443223443223443,0.63,1470
50,0.9847384758099044,0.847985347985348,0.59,1470
100,0.9752293561817371,0.8095238095238095,0.5,2205
