cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTE7_sc301,[2],376.156257,0.33188464097869447,[0.02433607],[82],0.0
BTE7_sc304,[0],0.0,0.32221014990487845,[0.03252202],[0],0.0
BTE7_sc305,[0],216.534263,0.35458372033278657,[0.02481136],[0],0.0
BTE7_sc306,[3],216.534263,0.39407561007856046,[0.02883415],[104],4.440892098500626e-16
BTE7_sc307,[0],305.259152,0.3575844299168561,[0.02082681],[0],0.0
BTE7_sc308,[0],0.0,0.42879757243024463,[0.04228686],[0],0.0
BTE7_sc312,[0],219.056931,0.25570866141732285,[0.01635581],[0],0.0
BTE7_sc313,[0],287.788706,0.3545666901857091,[0.01346652],[0],0.0
BTE7_sc314,[0],404.844592,0.3768626352953529,[0.02406288],[0],0.0
BTE7_sc315,[5],370.130104,0.4092672792994132,[0.03334148],[150],0.0
BTE7_sc316,[0],0.0,0.40434435481650743,[0.04058817],[0],0.0
BTE7_sc317,[0],319.897566,0.3299283356210459,[0.02310094],[0],0.0
BTE7_sc318,[0],33.365245,0.3898957574221349,[0.03780579],[0],0.0
BTE7_sc320,[0],269.942408,0.3412661359509986,[0.02376824],[0],0.0
BTE7_sc321,[0],0.0,0.33096248490374197,[0.03239629],[0],0.0
BTE7_sc322,[3],250.020274,0.3840339279032057,[0.02579117],[116],0.0
BTE7_sc323,[0],219.047564,0.3890379613472492,[0.02523263],[0],0.0
BTE7_sc324,[0],250.565665,0.3539932666230244,[0.02463083],[0],0.0
